Category: All categories

Day,microsoft teams: (Worldwide),skype: (Worldwide),google meet: (Worldwide)
2020-11-01,31,30,30
2020-11-02,72,41,74
2020-11-03,77,44,76
2020-11-04,67,40,70
2020-11-05,69,42,73
2020-11-06,61,38,69
2020-11-07,26,33,37
2020-11-08,36,32,32
2020-11-09,81,46,83
2020-11-10,82,44,87
2020-11-11,69,43,75
2020-11-12,75,45,77
2020-11-13,60,40,65
2020-11-14,27,35,34
2020-11-15,31,32,30
2020-11-16,74,46,70
2020-11-17,76,42,82
2020-11-18,77,45,82
2020-11-19,75,41,82
2020-11-20,59,36,74
2020-11-21,27,30,41
2020-11-22,31,27,32
2020-11-23,69,43,78
2020-11-24,71,41,81
2020-11-25,61,39,69
2020-11-26,59,38,67
2020-11-27,47,35,58
2020-11-28,23,29,36
2020-11-29,28,26,26
2020-11-30,65,37,68
2020-12-01,71,41,76
2020-12-02,66,38,74
2020-12-03,64,38,75
2020-12-04,55,38,62
2020-12-05,22,28,39
2020-12-06,22,27,25
2020-12-07,61,36,64
2020-12-08,58,35,60
2020-12-09,64,39,66
2020-12-10,62,37,66
2020-12-11,52,36,60
2020-12-12,21,29,34
2020-12-13,23,26,27
2020-12-14,62,41,100
2020-12-15,65,40,67
2020-12-16,64,39,67
2020-12-17,62,41,64
2020-12-18,49,34,61
2020-12-19,17,29,30
2020-12-20,18,29,22
2020-12-21,40,37,44
2020-12-22,34,38,42
2020-12-23,28,36,35
2020-12-24,19,37,29
2020-12-25,14,35,23
2020-12-26,13,30,19
2020-12-27,10,25,18
2020-12-28,21,29,25
2020-12-29,23,32,26
2020-12-30,21,27,26
2020-12-31,14,31,23
2021-01-01,8,22,16
2021-01-02,15,22,18
2021-01-03,21,22,21
2021-01-04,60,35,63
2021-01-05,68,34,65
2021-01-06,70,33,61
2021-01-07,69,33,64
2021-01-08,57,33,59
2021-01-09,22,28,31
2021-01-10,30,25,27
2021-01-11,87,39,78
2021-01-12,81,40,68
2021-01-13,70,46,66
2021-01-14,73,39,65
2021-01-15,61,35,58
2021-01-16,20,28,35
2021-01-17,24,23,27
2021-01-18,71,40,65
2021-01-19,71,37,71
2021-01-20,73,40,78
2021-01-21,76,41,75
2021-01-22,68,36,64
2021-01-23,23,28,38
2021-01-24,24,25,35
2021-01-25,72,36,75
2021-01-26,68,35,72
2021-01-27,69,35,68
2021-01-28,69,35,66
2021-01-29,61,34,60
2021-01-30,21,25,35
2021-01-31,21,28,31
2021-02-01,72,36,78
2021-02-02,77,38,76
2021-02-03,68,36,70
2021-02-04,69,34,72
2021-02-05,53,32,65
2021-02-06,22,23,33
2021-02-07,22,24,31
2021-02-08,70,35,75
2021-02-09,69,35,72
2021-02-10,63,37,66
2021-02-11,63,34,64
2021-02-12,56,29,54
2021-02-13,18,27,32
2021-02-14,22,21,26
2021-02-15,49,31,58
2021-02-16,54,33,59
2021-02-17,53,35,61
2021-02-18,54,34,66
2021-02-19,46,33,62
2021-02-20,21,26,35
2021-02-21,21,21,32
2021-02-22,64,32,73
2021-02-23,64,33,72
2021-02-24,59,31,67
2021-02-25,63,33,64
2021-02-26,52,30,57
2021-02-27,21,23,34
2021-02-28,22,22,28
2021-03-01,60,33,71
2021-03-02,65,32,72
2021-03-03,65,32,67
2021-03-04,65,32,66
2021-03-05,51,30,61
2021-03-06,19,23,33
2021-03-07,20,20,28
2021-03-08,55,30,70
2021-03-09,59,31,67
2021-03-10,53,31,64
2021-03-11,54,31,58
2021-03-12,48,30,54
2021-03-13,18,21,32
2021-03-14,18,21,26
2021-03-15,73,30,62
2021-03-16,55,30,65
2021-03-17,55,33,67
2021-03-18,54,31,67
2021-03-19,47,33,57
2021-03-20,18,23,28
2021-03-21,19,20,28
2021-03-22,59,30,69
2021-03-23,55,35,65
2021-03-24,55,32,67
2021-03-25,55,30,66
2021-03-26,43,31,55
2021-03-27,18,22,30
2021-03-28,17,19,24
2021-03-29,45,32,53
2021-03-30,47,30,52
2021-03-31,47,29,51
2021-04-01,40,31,41
2021-04-02,22,23,27
2021-04-03,13,21,24
2021-04-04,14,21,23
2021-04-05,38,25,52
2021-04-06,44,29,56
2021-04-07,50,30,59
2021-04-08,49,31,62
2021-04-09,40,27,53
2021-04-10,21,21,31
2021-04-11,17,19,25
2021-04-12,54,29,64
2021-04-13,50,31,57
2021-04-14,52,27,59
2021-04-15,50,29,59
2021-04-16,41,31,58
2021-04-17,17,20,33
2021-04-18,18,19,26
2021-04-19,51,30,64
2021-04-20,51,29,65
2021-04-21,49,30,58
2021-04-22,54,31,65
2021-04-23,43,28,58
2021-04-24,17,22,36
2021-04-25,19,20,26
2021-04-26,55,31,65
2021-04-27,76,29,64
2021-04-28,52,32,65
2021-04-29,49,28,61
2021-04-30,39,24,52
