Category: All categories

Day,zoom: (Worldwide),covid test: (Worldwide),google meet: (Worldwide)
2020-01-01,4,0,<1
2020-01-02,5,0,<1
2020-01-03,5,0,<1
2020-01-04,5,0,<1
2020-01-05,5,0,<1
2020-01-06,5,0,<1
2020-01-07,6,0,<1
2020-01-08,5,0,<1
2020-01-09,5,0,<1
2020-01-10,6,0,<1
2020-01-11,5,0,<1
2020-01-12,5,0,<1
2020-01-13,6,0,<1
2020-01-14,6,0,<1
2020-01-15,6,0,<1
2020-01-16,6,0,<1
2020-01-17,6,0,<1
2020-01-18,5,0,<1
2020-01-19,5,0,<1
2020-01-20,6,0,<1
2020-01-21,6,0,<1
2020-01-22,6,0,<1
2020-01-23,5,0,<1
2020-01-24,5,0,<1
2020-01-25,5,0,<1
2020-01-26,4,0,<1
2020-01-27,5,0,<1
2020-01-28,6,0,<1
2020-01-29,5,0,<1
2020-01-30,5,0,<1
2020-01-31,5,0,<1
2020-02-01,5,0,<1
2020-02-02,5,0,<1
2020-02-03,6,0,<1
2020-02-04,6,0,<1
2020-02-05,6,0,<1
2020-02-06,6,0,<1
2020-02-07,6,0,<1
2020-02-08,5,0,<1
2020-02-09,5,0,<1
2020-02-10,6,0,<1
2020-02-11,6,0,<1
2020-02-12,6,<1,<1
2020-02-13,6,<1,<1
2020-02-14,6,<1,<1
2020-02-15,5,<1,<1
2020-02-16,5,<1,<1
2020-02-17,6,<1,<1
2020-02-18,7,<1,<1
2020-02-19,7,0,<1
2020-02-20,6,<1,<1
2020-02-21,6,<1,<1
2020-02-22,5,<1,<1
2020-02-23,5,<1,<1
2020-02-24,6,<1,<1
2020-02-25,7,<1,<1
2020-02-26,6,<1,<1
2020-02-27,7,<1,<1
2020-02-28,7,<1,<1
2020-02-29,5,<1,<1
2020-03-01,5,<1,<1
2020-03-02,7,<1,<1
2020-03-03,7,<1,<1
2020-03-04,8,<1,<1
2020-03-05,8,<1,1
2020-03-06,8,<1,1
2020-03-07,6,<1,<1
2020-03-08,6,<1,1
2020-03-09,9,<1,1
2020-03-10,10,1,1
2020-03-11,12,1,2
2020-03-12,15,2,2
2020-03-13,16,2,2
2020-03-14,12,2,1
2020-03-15,16,2,1
2020-03-16,32,2,5
2020-03-17,39,3,5
2020-03-18,45,3,6
2020-03-19,50,3,6
2020-03-20,49,3,6
2020-03-21,41,3,3
2020-03-22,46,3,2
2020-03-23,73,4,7
2020-03-24,79,4,7
2020-03-25,75,4,7
2020-03-26,79,4,7
2020-03-27,77,4,6
2020-03-28,63,4,3
2020-03-29,61,3,3
2020-03-30,88,4,8
2020-03-31,92,4,8
2020-04-01,97,4,8
2020-04-02,95,4,8
2020-04-03,100,4,8
2020-04-04,72,3,3
2020-04-05,68,3,3
2020-04-06,93,3,8
2020-04-07,87,3,9
2020-04-08,85,3,9
2020-04-09,81,3,7
2020-04-10,69,3,5
2020-04-11,60,3,2
2020-04-12,62,3,3
2020-04-13,69,3,7
2020-04-14,78,4,9
2020-04-15,80,4,10
2020-04-16,82,4,10
2020-04-17,77,4,9
2020-04-18,61,3,4
2020-04-19,55,3,3
2020-04-20,79,4,11
2020-04-21,78,4,11
2020-04-22,81,4,11
2020-04-23,75,4,11
2020-04-24,70,5,9
2020-04-25,54,4,3
2020-04-26,49,3,3
2020-04-27,68,4,10
2020-04-28,70,4,10
2020-04-29,71,5,11
2020-04-30,68,4,11
2020-05-01,60,4,7
2020-05-02,49,4,4
2020-05-03,46,4,4
2020-05-04,60,5,10
2020-05-05,60,4,9
2020-05-06,62,4,11
2020-05-07,65,4,11
2020-05-08,62,4,9
2020-05-09,45,4,4
2020-05-10,41,4,3
2020-05-11,59,5,10
2020-05-12,62,5,10
2020-05-13,62,5,11
2020-05-14,58,5,10
2020-05-15,55,5,9
2020-05-16,42,4,4
2020-05-17,42,4,4
2020-05-18,52,5,9
2020-05-19,53,5,9
2020-05-20,51,5,9
2020-05-21,52,5,9
2020-05-22,49,4,8
2020-05-23,36,4,3
2020-05-24,32,3,3
2020-05-25,37,4,6
2020-05-26,44,5,9
2020-05-27,48,5,9
2020-05-28,47,4,9
2020-05-29,45,4,8
2020-05-30,32,3,4
2020-05-31,32,3,3
2020-06-01,46,4,8
2020-06-02,46,4,8
2020-06-03,46,4,8
2020-06-04,44,4,8
2020-06-05,43,4,7
2020-06-06,30,3,4
2020-06-07,26,4,3
2020-06-08,39,5,8
2020-06-09,40,4,8
2020-06-10,41,5,7
2020-06-11,40,5,7
2020-06-12,37,5,6
2020-06-13,28,4,3
2020-06-14,25,4,3
2020-06-15,36,5,7
2020-06-16,38,5,7
2020-06-17,39,6,7
2020-06-18,39,6,7
2020-06-19,36,5,6
2020-06-20,26,5,4
2020-06-21,22,4,3
2020-06-22,35,7,7
2020-06-23,35,7,6
2020-06-24,36,7,6
2020-06-25,36,7,6
2020-06-26,32,8,6
2020-06-27,24,6,3
2020-06-28,22,6,3
2020-06-29,32,8,6
2020-06-30,34,8,6
